,Score,Feature
0,0.0095,['feature_intelligence8']
1,0.0079,['feature_intelligence1']
2,0.006,['feature_intelligence4']
3,0.0047,['feature_intelligence11']
4,0.0037,['feature_wisdom42']
5,0.0036,['feature_wisdom37']
6,0.0036,['feature_wisdom12']
7,0.0035,['feature_constitution71']
8,0.0035,['feature_charisma70']
9,0.0033,['feature_wisdom35']
10,0.0032,['feature_dexterity11']
11,0.003,['feature_intelligence7' 'feature_charisma50']
12,0.003,['feature_dexterity3' 'feature_constitution111']
13,0.0029,['feature_intelligence5']
14,0.0029,['feature_intelligence3']
15,0.0027,['feature_wisdom9']
16,0.0026,['feature_constitution20']
17,0.0025,['feature_wisdom1']
18,0.0024,['feature_wisdom3']
19,0.0024,['feature_strength4']
20,0.0024,['feature_charisma58' 'feature_constitution9']
21,0.0023,['feature_strength10']
22,0.0023,['feature_constitution85']
23,0.0023,['feature_constitution70']
24,0.0022,['feature_wisdom36']
25,0.0022,['feature_dexterity1']
26,0.0022,['feature_constitution53']
27,0.0022,['feature_charisma85']
28,0.0022,['feature_charisma83']
29,0.0022,['feature_charisma72']
30,0.0021,['feature_intelligence10']
31,0.0021,['feature_dexterity6']
32,0.0021,['feature_charisma21']
33,0.002,['feature_wisdom17']
34,0.002,['feature_strength7']
35,0.002,['feature_constitution23' 'feature_constitution91']
36,0.0019,['feature_wisdom23']
37,0.0019,['feature_wisdom20']
38,0.0019,['feature_strength32']
39,0.0019,['feature_strength19']
40,0.0019,['feature_intelligence6']
41,0.0019,['feature_dexterity9']
42,0.0019,['feature_constitution100']
43,0.0019,['feature_charisma12']
44,0.0018,['feature_wisdom32']
45,0.0018,['feature_wisdom26']
46,0.0018,['feature_strength34']
47,0.0018,['feature_strength2']
48,0.0018,['feature_constitution95']
49,0.0018,['feature_constitution33']
50,0.0018,['feature_constitution31']
51,0.0018,['feature_charisma73']
52,0.0018,['feature_charisma69']
53,0.0018,['feature_charisma17']
54,0.0017,['feature_wisdom2']
55,0.0017,['feature_constitution90']
56,0.0017,['feature_constitution54']
57,0.0017,['feature_constitution112']
58,0.0017,['feature_constitution1']
59,0.0016,['feature_wisdom33']
60,0.0016,['feature_intelligence12']
61,0.0016,['feature_dexterity4']
62,0.0016,['feature_constitution87']
63,0.0016,['feature_constitution65']
64,0.0016,['feature_constitution43']
65,0.0016,['feature_constitution4']
66,0.0016,['feature_constitution18']
67,0.0016,['feature_charisma57']
68,0.0015,['feature_wisdom7']
69,0.0015,['feature_wisdom6']
70,0.0015,['feature_wisdom43']
71,0.0015,['feature_strength6']
72,0.0015,['feature_strength3']
73,0.0015,['feature_strength29']
74,0.0015,['feature_intelligence2']
75,0.0015,['feature_constitution73']
76,0.0015,['feature_constitution46']
77,0.0015,['feature_constitution36']
78,0.0015,['feature_constitution104']
79,0.0015,['feature_constitution101']
80,0.0015,['feature_charisma80']
81,0.0015,['feature_charisma51']
82,0.0015,['feature_charisma37']
83,0.0015,['feature_charisma24']
84,0.0015,['feature_charisma2']
85,0.0014,['feature_strength5']
86,0.0014,['feature_strength31']
87,0.0014,['feature_strength17']
88,0.0014,['feature_strength12']
89,0.0014,['feature_strength11']
90,0.0014,['feature_dexterity12']
91,0.0014,['feature_constitution67']
92,0.0014,['feature_constitution44']
93,0.0014,['feature_constitution16']
94,0.0014,['feature_constitution108']
95,0.0014,['feature_charisma6']
96,0.0014,['feature_charisma46' 'feature_constitution89']
97,0.0014,['feature_charisma39']
98,0.0013,['feature_wisdom44']
99,0.0013,['feature_wisdom22']
100,0.0013,['feature_wisdom15']
101,0.0013,['feature_strength36']
102,0.0013,['feature_strength15']
103,0.0013,['feature_strength1']
104,0.0013,['feature_dexterity8']
105,0.0013,['feature_dexterity7']
106,0.0013,['feature_constitution68']
107,0.0013,['feature_constitution10']
108,0.0013,['feature_charisma4' 'feature_constitution41']
109,0.0013,['feature_charisma34']
110,0.0012,['feature_wisdom18']
111,0.0012,['feature_strength25']
112,0.0012,['feature_intelligence9']
113,0.0012,['feature_dexterity5']
114,0.0012,['feature_constitution84']
115,0.0012,['feature_constitution58']
116,0.0012,['feature_constitution32']
