,Score,Feature
0,0.0064607714732225815,[139 142]
1,0.002598976264897144,[141 146]
2,0.0013800019444660493,[138 143]
3,0.001379560422252689,[147 149]
4,0.001170962444889666,[29 48 87 92]
5,0.0011124492270830062,[111 131]
6,0.001109861746403853,[20 80]
7,0.0008796097561567998,[294 299 300 301 302 305]
8,0.0008464222158655178,[100 116]
9,0.0008162872263552563,[17 65]
10,0.0007775326530579877,[150 169 175 192 211 229 233 234]
11,0.0005930785361016417,[74 96]
12,0.0005126244846697908,[264 277 283 297 298]
13,0.0004902593605407392,[267 279 293 308]
14,0.00042033320403300105,[12 30]
15,0.00040935294852549565,[106 119]
16,0.00038517008452063826,[205 240 251 259]
17,0.00038401904453953166,[187 216 260 263]
18,0.00037010213522932283,[151 222]
19,0.00036689565365068176,[53 86]
20,0.0003588410262211249,[1 2]
21,0.0003536672382174409,[280 292]
22,0.0003527350868644476,[193 204 215 242]
23,0.0003501313911391737,[140 148]
24,0.00034590374724522815,[ 3 10]
25,0.0003454185927813888,[278 290]
26,0.0003447366052443827,[ 98 101]
27,0.0003276470823012115,[161 178 199 250]
28,0.0003070708409054404,[286 295]
29,0.0003005499935259089,[ 99 129]
30,0.00028469124179194335,[38 88]
31,0.0002844445234951722,[173 231]
32,0.0002751092195747699,[201 218]
33,0.00026632329707781873,[232 249]
34,0.0002444326387778651,[210 245]
35,0.00024382853143760795,[271]
36,0.00022790253290160055,[33 67 71 76]
37,0.00020800418396822712,[213 241 247 248]
38,0.00020538281277564718,[32 47]
39,0.00020405498479474327,[179 191]
40,0.0001987686108637677,[281 288]
41,0.0001963637128263127,[207 217]
42,0.00019375728995850417,[45 66]
43,0.0001909882349989913,[212 214]
44,0.0001899435223347535,[25 44]
45,0.0001775167181948708,[284 291]
46,0.00017526703002151669,[22 69]
47,0.0001747862085377169,[112 124]
48,0.00017308989929145768,[167 188 246 256]
49,0.00017006737703448833,[51 72]
50,0.00016352599140783216,[54 81]
51,0.00015581527969006393,[265 270 275 309]
52,0.0001552566689083012,[220]
53,0.00014608696640528712,[21 89]
54,0.00014496452100848007,[273 282]
55,0.0001300615056021547,[287 296 306]
56,0.00011497831282676076,[157 166]
57,0.00011427535870462827,[7]
58,0.00011025133130841352,[95 97]
59,0.00010892515113390946,[115 134]
60,0.00010528663735379488,[104 132]
61,9.409324012896652e-05,[55 85]
62,8.359209863597128e-05,[276]
63,8.166025801519512e-05,[ 4 11]
64,8.02735475954703e-05,[14 56]
65,7.881657322261702e-05,[42 62]
66,6.893406205700446e-05,[16 90]
67,6.850889944480977e-05,[105 125]
68,6.136638245063623e-05,[168 227]
69,6.116994268967164e-05,[68 94]
70,5.6106769839256986e-05,[121 126]
71,5.529909045660064e-05,[123 130]
72,5.378933411690392e-05,[79 93]
73,4.959332452231626e-05,[107 133]
74,4.8685802765036044e-05,[37 78]
75,4.669706719568244e-05,[113 120]
76,4.2805208860819164e-05,[136 137 144 145]
77,4.0461077439157616e-05,[24 61]
78,4.008533787421178e-05,[269 274]
79,3.7692079135942805e-05,[102 110]
80,3.40676613362354e-05,[43 59]
81,3.2055864638895e-05,[103 114]
82,2.9889399303937224e-05,[27 46]
83,2.958121234605092e-05,[163 200]
84,2.2238887182631602e-05,[190 257]
85,1.2969665655876976e-05,[170 219]
86,1.092354478760757e-05,[34 50]
87,7.5144824349877025e-06,[156 162 176 228]
88,3.4917752290237093e-06,[152 172]
89,-1.6520847358173114e-07,[57 77]
90,-1.1332413593479146e-06,[0]
91,-2.937840670136127e-06,[52 70]
92,-6.983298016379952e-06,[160 177]
93,-1.1144853033992928e-05,[5 6]
94,-1.3206280792885529e-05,[158 182 195 209 236 261]
95,-1.338215598522888e-05,[13 35]
96,-2.260411222321279e-05,[109 127]
97,-2.5188139463200645e-05,[272 285]
98,-2.7591409809813394e-05,[154 155 159 223]
99,-3.26949807199571e-05,[225 238]
100,-3.460333590807371e-05,[180 253]
101,-3.818848927464752e-05,[19 26]
102,-3.965001145806635e-05,[122 128]
103,-4.224282509936483e-05,[235 243]
104,-4.3489137261348016e-05,[194 196 203 244]
105,-4.765537331727837e-05,[289]
106,-5.6896513296416004e-05,[181 197 206 226]
107,-6.425616739793197e-05,[221 237 239 252]
108,-6.605016320480653e-05,[18 83]
109,-6.919188089104947e-05,[171 174 224 255]
110,-6.977039903630536e-05,[60 84]
111,-7.024090693360964e-05,[202]
112,-8.504963707719579e-05,[ 36  58 117 135]
113,-9.202750211531057e-05,[40 82]
114,-0.00010292521582882296,[165 189]
115,-0.00010591426270082144,[164 186]
116,-0.00011387011191484034,[266]
117,-0.00011907525585507529,[108 118]
118,-0.00012802052345567153,[39 64]
119,-0.00015396470360779278,[153 183 184 185 198 254 258 262]
120,-0.00015864507814555094,[23 91]
121,-0.00016310145275000832,[41 49]
122,-0.00016597761597365092,[31 75]
123,-0.0001707999293060783,[15 28]
124,-0.00018176199350180883,[8 9]
125,-0.00027831811169576586,[63 73]
126,-0.0003188822261632417,[268 303 304 307]
127,-0.0003541624262093265,[208 230]
